schoolname,state,countgroup,localegroup,bodyparts,prohibited
Monroe City r-i High,MO,200-499,rural,"[""midriff""]",none
Temple High School,TX,1500+,city,"[""midriff""]",none
Ripley High School,MS,500-999,town,"[""back"",""chest"",""midriff""]",none
Haverling Senior High School,NY,200-499,town,"[""midriff""]",none
White River High School,WA,1000-1500,suburb,"[""back"",""chest"",""midriff""]",none
Newton Senior High School,IA,500-999,town,"[""chest"",""midriff""]",none
Astoria Senior High School,OR,500-999,town,[null],
Carter County High School,MT,< 200,rural,"[""midriff""]",none
Hobbs High,NM,1500+,town,"[""midriff""]",none
Hiawatha Sr High,KS,200-499,town,[null],
Pittsfield High,MA,500-999,city,"[""midriff""]",none
Huntington High School,NY,1000-1500,suburb,[null],
Social Circle High School,GA,500-999,town,"[""cleavage"",""midriff""]",none
Lomira High,WI,200-499,rural,"[""midriff""]",none
East Haven High School,CT,500-999,suburb,[null],
Saratoga Springs High School,NY,1500+,suburb,[null],
Skyview High School,WA,1500+,suburb,"[""midriff""]",none
Kelso High School,WA,1500+,suburb,"[""buttocks"",""cleavage"",""midriff""]",none
Chireno High School,TX,< 200,rural,"[""midriff""]",none
Edison Senior High,MN,500-999,city,[null],
Russell High,KS,200-499,town,[null],
Nettleton High School,MS,200-499,rural,"[""back"",""midriff""]",none
Sallisaw High School,OK,500-999,town,"[""midriff""]",none
Laker High School,MI,200-499,rural,"[""cleavage"",""midriff""]",none
Grand Rapids Senior High,MN,1000-1500,rural,"[""midriff""]",none
Plymouth High,WI,500-999,town,[null],
Broadview High School,MT,< 200,rural,[null],
Asher High School,OK,< 200,rural,"[""midriff""]",none
Lodi High,WI,500-999,town,"[""midriff""]",none
Black Hawk High,WI,< 200,rural,[null],
Morrison High School,OK,< 200,rural,"[""midriff""]",none
Okay High School,OK,< 200,rural,"[""midriff""]",none
California High,MO,200-499,town,"[""midriff""]",none
Aliso Niguel High,CA,1500+,suburb,[null],
Andrews High School,TX,1000-1500,town,[null],
Buffalo High School,WY,200-499,rural,"[""buttocks"",""cleavage"",""midriff""]",none
Rutland Senior High School,VT,500-999,town,[null],
Taft Union High,CA,500-999,town,"[""midriff""]",none
Graham High School,OK,< 200,rural,"[""cleavage"",""midriff""]",none
Franklin High,MA,1500+,suburb,[null],
Sweetwater High School,TX,500-999,town,"[""buttocks"",""cleavage"",""midriff""]",none
George Washington High School,IA,1000-1500,city,[null],
Glen Ullin High School,ND,< 200,rural,"[""cleavage"",""midriff""]",none
Tonasket High School,WA,200-499,rural,[null],
Quartz Hill High,CA,1500+,suburb,"[""midriff""]",none
Wray High School,CO,< 200,rural,"[""back"",""chest"",""buttocks"",""midriff""]",none
Ponca City High School,OK,1000-1500,town,"[""back"",""cleavage"",""midriff""]",none
Hilton High School,NY,1000-1500,suburb,[null],
North Douglas High School,OR,< 200,rural,"[""midriff""]",none
East Sac County High School,IA,200-499,rural,[null],
Colby Senior High,KS,200-499,town,"[""back"",""midriff""]",none
Scotts Valley High,CA,500-999,suburb,"[""midriff"",""torso""]",none
Auburn Senior High,MA,500-999,suburb,[null],
Auburn High,VA,200-499,rural,[null],
Hickory Ridge High,NC,1500+,suburb,"[""back"",""cleavage"",""midriff""]",none
Dewitt High School,AR,200-499,rural,"[""back"",""chest"",""buttocks"",""cleavage"",""midriff""]",none
Marion l Steele High School,OH,1000-1500,suburb,"[""midriff""]",none
Cameron High,MO,500-999,town,"[""chest"",""buttocks"",""midriff""]",none
Bay Shore Senior High School,NY,1500+,suburb,"[""midriff""]",none
Saint Helena High,CA,200-499,town,[null],
Reeds Spring High,MO,500-999,rural,"[""midriff""]",none
Connetquot High School,NY,1500+,suburb,[null],
Rondout Valley High School,NY,500-999,rural,[null],
Porum High School,OK,< 200,rural,"[""back"",""midriff""]",none
Bonduel High,WI,200-499,rural,"[""back"",""midriff""]",none
Farmington High,NM,1000-1500,city,"[""back"",""midriff""]",none
Mount Pleasant High,NC,500-999,rural,"[""chest"",""cleavage"",""midriff"",""torso""]",none
Fountain Hills High School,AZ,500-999,suburb,"[""chest""]",none
Pottstown Shs,PA,500-999,suburb,"[""cleavage"",""midriff""]",none
Menchville High,VA,1500+,city,"[""back"",""cleavage"",""midriff""]",none
Wheeler High School,CT,< 200,rural,"[""midriff""]",none
Marshalltown High School,IA,1000-1500,town,"[""back"",""chest"",""buttocks"",""cleavage""]",none
West Plains Sr. High,MO,1000-1500,rural,"[""midriff""]",none
Merrill High,WI,500-999,town,"[""midriff""]",none
Northwest Cabarrus High,NC,1000-1500,suburb,"[""back"",""cleavage"",""midriff""]",none
Elkhorn Area High,WI,500-999,town,"[""midriff""]",none
Almont High School,MI,500-999,rural,"[""cleavage"",""midriff""]",none
Bourne High School,MA,200-499,suburb,[null],
Eastern York High School,PA,500-999,rural,"[""midriff""]",none
Washington High School,OK,200-499,rural,[null],
Norwood High,MA,500-999,suburb,"[""chest"",""midriff""]",none
Washburn Rural High,KS,1500+,rural,"[""back"",""midriff""]",none
Talihina High School,OK,200-499,rural,"[""midriff""]",none
Lamphere High School,MI,500-999,suburb,"[""midriff""]",none
"Lake Region Uhsd #24",VT,200-499,rural,[null],
Newberg Senior High School,OR,1500+,town,"[""back"",""buttocks"",""cleavage"",""midriff""]",none
Edgewood High School,TX,200-499,rural,[null],
Blair Oaks High,MO,200-499,rural,[null],
Nicolet High,WI,1000-1500,suburb,"[""back"",""chest"",""buttocks"",""midriff""]",none
Milton Senior High School,VT,200-499,town,[null],
Holland Patent Central High School,NY,200-499,rural,[null],
Dickinson High School,TX,1500+,suburb,[null],
Vinton-Shellsburg High School,IA,200-499,rural,"[""midriff""]",none
Atlanta High School,TX,500-999,town,"[""back"",""midriff""]",none
Sequoyah High School,OK,200-499,rural,"[""midriff""]",none
Brave Center Academy,ND,< 200,suburb,"[""midriff""]",none
New Prague Senior High,MN,1000-1500,town,"[""midriff""]",none
Menomonie High,WI,500-999,rural,"[""cleavage"",""midriff"",""torso""]",none
Hardin-Jefferson High School,TX,500-999,rural,"[""midriff""]",male
Marlin High School,TX,200-499,town,"[""cleavage"",""midriff""]",none
Lookeba-Sickles High School,OK,< 200,rural,"[""cleavage"",""midriff"",""torso""]",none
Knoxville High School,IA,500-999,town,"[""cleavage"",""midriff""]",none
Van Horn High,MO,500-999,suburb,"[""back"",""chest"",""buttocks"",""midriff""]",none
Hudson's Bay High School,WA,1000-1500,city,"[""midriff""]",none
Shelby High School,MT,< 200,town,"[""back"",""chest"",""buttocks"",""midriff""]",none
West Seneca West Senior High School,NY,1000-1500,suburb,[null],
Peabody Veterans Memorial High,MA,1500+,suburb,[null],
Red Hook Senior High School,NY,500-999,town,[null],
Henderson High School,TX,500-999,town,"[""cleavage"",""midriff""]",none
Nathan Hale High,WI,1500+,city,[null],
University City High,CA,1500+,city,"[""midriff""]",none
Siuslaw High School,OR,200-499,town,[null],
Plevna High School,MT,< 200,rural,[null],
North Eugene High School,OR,500-999,city,[null],
Littleton High School,MA,200-499,suburb,[null],
West Springfield High,MA,1000-1500,suburb,[null],
Alta Loma High,CA,1500+,suburb,"[""buttocks"",""midriff""]",none
Pine Island Secondary,MN,200-499,town,"[""midriff""]",none
Winneconne High,WI,200-499,town,"[""cleavage"",""midriff""]",none
Beaver Dam High,WI,1000-1500,town,"[""cleavage"",""midriff""]",none
Mariner High School,FL,1500+,city,"[""back"",""midriff""]",none
Milwaukie High School,OR,1000-1500,suburb,"[""midriff""]",none
Holcomb High,KS,200-499,rural,"[""midriff""]",none
Conval Regional High School,NH,500-999,rural,[null],
Geneva High Sch,AL,200-499,town,"[""midriff""]",none
Salina High School,OK,200-499,rural,[null],
Gilmer High School,GA,1000-1500,town,[null],
